,Kumon Level,Workbook Page,Average Score,Bert Score,Task,Masked Words,Bert Masks
0,AII,138.0,93.0,70.0,"[CLS] I remember how much she wanted a pair of football boots just like her big brother’s, and she wore them to bed every night for a week. [SEP] She wanted a pair of [MASK] boots. [SEP]",['football'],['cowboy']
1,AII,138.0,93.0,70.0,"[CLS] I remember how much she wanted a pair of football boots just like her big brother’s, and she wore them to bed every night for a week. [SEP] She wore them to bed every [MASK] for a week. [SEP]",['night'],['night']
2,AII,138.0,93.0,70.0,"[CLS] And I remember the day she had a fight with her mom and said, 'I’m going to run away. I’m going to run away to Africa.' She collected her piggy bank and her green rabbit and a packet of chips, and rode off with her nose in the air. [SEP] What did Ellie do the day she had a fight with her mom? She collected her [MASK] [MASK] and her green [MASK] and rode off with her [MASK] in the air. [SEP]","['piggy', 'bank', 'rabbit', 'nose']","['dog', 'rabbit', 'rabbit', 'nose']"
3,AII,148.0,90.5,100.0,"[CLS] So he took a pillow from the bed and pulled and pushed, and stuffed and shoves until at last the pillow was with him inside the dress. Then he tied Bessie’s apron firmly around his middle to hold everything in place. He put on Bessie’s big straw hat and he pulled on Bessie’s big rubber boots. [SEP] Old Tom tied Bessie’s [MASK] firmly around his middle. [SEP]",['apron'],['apron']
4,AII,148.0,90.5,100.0,"[CLS] So he took a pillow from the bed and pulled and pushed, and stuffed and shoves until at last the pillow was with him inside the dress. Then he tied Bessie’s apron firmly around his middle to hold everything in place. He put on Bessie’s big straw hat and he pulled on Bessie’s big rubber boots. [SEP] He pulled on Bessie’s big [MASK] boots. [SEP]",['rubber'],['rubber']
5,AII,148.0,90.5,100.0,"[CLS] In this disguise he set out to milk Belinda. Belinda was chawing in the far corner of the paddock. She looked up, blinked, then went on chewing. Quietly Old Tom came closer and closer. [SEP] What did Belinda do when she saw old Tom in Bessie’s clothes? She [MASK] up, [MASK], then went on [MASK]. [SEP]","['looked', 'blinked', 'chewing']","['looked', 'blinked', 'chewing']"
6,BI,78.0,96.9,69.0,"[CLS] That morning the Wake-Up machine had rolled Astrid out of bed an hour late, then stuck her under a cold shower. 'What a way to start the day!' Astrid said to the machine as she bought a ticket for the next school spaces. Next flight: eight thirty! Now she would really be late for school. Mrs. Roboto, her teacher, would never understand. [SEP] For what did Astrid buy a ticket? Astrid [MASK] a ticket for the next school [MASK]. [SEP]","['bought', 'spacebus']","['bought', 'day']"
7,BI,78.0,96.9,69.0,"[CLS] That morning the Wake-Up machine had rolled Astrid out of bed an hour late, then stuck her under a cold shower. 'What a way to start the day!' Astrid said to the machine as she bought a ticket for the next school spaces. Next flight: eight thirty! Now she would really be late for school. Mrs. Roboto, her teacher, would never understand. [SEP] Who would never understand why Astrid was late? Mrs. [MASK], Astrid’s [MASK], would never understand. [SEP]","['Roboto', 'teacher']","['tanaka', 'teacher']"
8,BI,78.0,96.9,69.0,"[CLS] That morning the Wake-Up machine had rolled Astrid out of bed an hour late, then stuck her under a cold shower. 'What a way to start the day!' Astrid said to the machine as she bought a ticket for the next school spaces. Next flight: eight thirty! Now she would really be late for school. Mrs. Roboto, her teacher, would never understand. Mrs. Roboto was the type of teacher who never smiled. Astrid found a seat on the spacebus, but she couldn’t relax. She was too busy thinking about the trouble she would be in when she finally arrived at school. Slowly, the movement of the spacebus rocked her to sleep. [SEP] What type of teacher was Mrs. Roboto? She was the [MASK] of teacher who would never [MASK]. [SEP]","['type', 'understand']","['type', 'smile']"
9,BI,78.0,96.9,69.0,"[CLS] That morning the Wake-Up machine had rolled Astrid out of bed an hour late, then stuck her under a cold shower. 'What a way to start the day!' Astrid said to the machine as she bought a ticket for the next school spaces. Next flight: eight thirty! Now she would really be late for school. Mrs. Roboto, her teacher, would never understand. Mrs. Roboto was the type of teacher who never smiled. Astrid found a seat on the spacebus, but she couldn’t relax. She was too busy thinking about the trouble she would be in when she finally arrived at school. Slowly, the movement of the spacebus rocked her to sleep. [SEP] What did the slow movement of the spacebus do to Astrid? The movement of the spacebus [MASK] her to [MASK]. [SEP]","['rocked', 'sleep']","['caused', 'sleep']"
